name,address.street1,address.street2,address.city,address.postCode,address.region,phone,geoData.ok,geoData.source,geoData.confidence,geoData.latitude,geoData.longitude
Akaroa Butchery,67 Rue Layand,Akaroa,Christchurch,7520,Canterbury,03 3047038,1,bing,High,-43.53100967,172.6377869
Ashburton Trading Society,97 Burnett Street,,Ashburton,7700,Canterbury,03 3075100,1,bing,High,-43.90309,171.74631
Banfields Of Beckenham,134 Colombo Street,Beckenham,Christchurch,8023,Canterbury,03 3326148,1,bing,High,-43.5576999,172.6371
Bellintinos,9 Napier Rd,,Havelock North,4130,Hawkes Bay,03 8758103,1,bing,High,-39.66939,176.87767
Bethleham Butchery,SH2 Bethleham,,Tauranga,3110,Bay Of Plenty,07 5764729,1,bing,High,-37.69468,176.11825
Boric Food Market,1404 CoatesVille - Riverhead Hwy,,Auckland,892,Auckland,09 4128310,1,bing,High,-36.787,174.58302
Burgers Butchery,305 Church Street,,Timaru,7910,Canterbury,03 6889338,1,bing,High,-44.39582,171.22962
Chefs Choice,Basta Hill,106c Ikitara Rd,Wanganui,4500,Manawatu,06 3433361,1,bing,High,-39.9227,175.06803
Cherrywood Butchery,58 Cherrywood Drive,Otumoetai,Tauranga,3110,Bay Of Plenty,07 5767338,1,bing,High,-37.66821,176.14153
Churchills Fine Meats And Deli,79 Keri Keri Rd,Keri Keri,,230,Northland,09 4078924,1,bing,High,-35.22734,173.9491899
Clarks Butchery,356 West Coast Rd,Glen Eden,Auckland,602,Auckland,09 8186526,1,bing,High,-36.9086924,174.6411256
Cole's Butchery And Deli,237 Maunganui Rd,Mt Maunganui,Tauranga,3116,Bay Of Plenty,07 5753100,1,bing,High,-37.64047,176.18471
Compleat Wellness,24 Windsor Street,,Invercargill,9810,Southland,03 2179010,1,bing,High,-46.397,168.36542
Darfield Four Square,76 South Terrace,,Darfield,7510,Canterbury,03 3188703,1,bing,Medium,-43.48979,172.11196
Doug Jarvis Butchery,7 Gravatt Rd Papamoa Plaza,Papamoa,Tauranga,3003,Bay Of Plenty,07 5720090,1,bing,High,-37.70058,176.28379
Drury Meats,232a Great South Rd,Drury,Auckland,2113,Auckland,09 2948546,1,bing,High,-37.10315,174.95204
Eastbourne Village Meats,7 Rimu Street,,Wellington,5013,Wellington,04 5628049,1,bing,High,-41.290399,174.8979078
Elite Meats Bush Inn,364 Riccarton Rd,,Christchurch,8041,Canterbury,03 3485043,1,bing,High,-43.53154,172.57518
Ellerslie Meats,128d Main Highway,,Ellerslie,1051,Auckland,09 5796393,1,bing,High,-36.89795,174.80998
Ellesmere Butchery,79 High Street,,Leeston,7632,Canterbury,03 3243419,1,bing,High,-43.76276,172.29694
Euro Gourmet Meats,25 Westminster Street,,Christchurch,7671,Canterbury,03 3853644,1,bing,Medium,-43.5018,172.64488
Farmer Jones Butchery Ltd,2 Owen Place,Mt Maunganui,Tauranga,3116,Bay Of Plenty,07 5757582,1,bing,High,-37.67705,176.22069
Farro Fresh Epsom,446 Manukau Rd,Epsom,Auckland,1023,Auckland,09 3600499,1,bing,High,-36.89377,174.7745799
Farro Fresh North Shore,73 Constellation Drive,Mairangi Bay,North Shore,632,Auckland,09 3600499,1,bing,High,-36.75042,174.7281099
Gladstone Butchery,64 Gladstone Rd,,Auckland,1052,Auckland,09 3033280,1,bing,High,-36.85269,174.78619
Good Meats Butchery,28 Huron Street,,Gore,9710,Southland,03 2087565,1,bing,High,-46.09531,168.9529499
Gourmeats,6 Donnelly Street,Havelock North,Hawkes Bay,4130,Hawkes Bay,06 6505527,1,bing,High,-39.66795,176.87805
Gourmet Direct,17 Mahia Street,Ahuriri,Napier,4140,Hawkes Bay,06 8337966,1,bing,High,-39.48264,176.8971
Grey Lynn Butchery,531 Great North Rd,Grey Lynn,Auckland,1021,Auckland,09 3763567,1,bing,High,-36.86541,174.7377799
Greytown Butchery,67 Main Street,Greytown,Wairarapa,5172,West Coast,06 3049550,1,bing,High,-41.07902,175.46219
Halswell Butchery,490 Sparks Rd,Halswell,Christchurch,8225,Canterbury,03 3228747,1,bing,High,-43.5854,172.57144
Harris Meats,23 Hall St,Cheviot,,7310,Canterbury,03 3198553,1,bing,Medium,-42.81304,173.27393
Highbury Butchery,11 Mokoia Rd,,Auckland,626,Auckland,09 4809526,1,bing,High,-36.81199,174.72562
Howick Meats,68 Vincent Street,Howick,Auckland,2014,Auckland,09 5346262,1,bing,High,-36.90244,174.92544
Howick Village Butchery,65 Picton Street,Howick,Auckland,2014,Auckland,09 5344010,1,bing,High,-36.8940362,174.9314201
Karaka Country Market,343 Linwood Rd,Karaka,Auckland,2580,Auckland,09 2919364,1,bing,High,-37.1009,174.87419
Kumeu Village Butchery,86e Main Rd,Kumeu,Auckland,810,Auckland,09 4128338,1,bing,High,-36.7761527,174.5561757
Lamond Poultry,1168 Main South Road,,Christchurch,7614,Canterbury,03 3478698,1,bing,Medium,-43.54294,172.5355
Leekies Butchery,153 Forbury Rd,,Otago,9012,Southland,03 4550060,1,bing,High,-45.90701,170.48748
Magills Butchery,81b Jacobs St,,Te Awamutu,3800,Waikato,0800 6244557,1,bing,Medium,-38.01006,175.32066
Meat @ Millers,205 Waimairi Rd,,Christchurch,8041,Canterbury,03 3587004,1,bing,High,-43.51645,172.57179
Meaters Of Marlborough,133 Maxwell Rd,,Blenheim,7201,Marlborough,03 5783751,1,bing,High,-41.52529,173.9456999
Moore Wilson,18 Eastern Hutt Rd,Wingate,Wellington,5019,Wellington,04 5671632,1,bing,High,-41.18851,174.95739
Moreish,284 Broadway Ave,,Palmerston North,4414,Manawatu,06 3566673,1,bing,High,-40.34931,175.62389
Naturally Organic,100 Don Mckinnon Drive,Northbridge Plaza,Auckland,632,Auckland,09 4473508,1,bing,High,-36.72952,174.71165
Neat Meat Queenstown,3 Hawthorne Dr,Frankton,Queenstown,9300,Southland,03 7774328,1,bing,High,-45.02493,168.74175
Nosh Constellation,10a Constellation Drive,Mairangi Bay,Auckland,632,Auckland,09 5570290,1,bing,High,-36.74622,174.73601
Nosh Glen Innes,133 Apirana Ave,Glen Innes,Auckland,1072,Auckland,09 5211115,1,bing,High,-36.8746034,174.8536411
Nosh Greenlane,136 Greenlane East,Greenlane,Auckland,1051,Auckland,09 5315369,1,bing,High,-36.8903,174.79519
Nosh Matakana,2 Matakana Valley Rd,Matakana,Auckland,985,Auckland,09 4229534,1,bing,High,-36.3521,174.71766
Nosh Mt Eden,422 Dominion Road,Mt Eden,Auckland,1024,Auckland,09 6321034,1,bing,High,-36.88159,174.7494
Nosh Pakuranga,102 Pakuranga Rd,Pakuranga,Auckland,2010,Auckland,09 5500244,1,bing,High,-36.91113,174.87126
Nosh Ponsonby,254 Ponsonby Road,Ponsonby,Auckland,1011,Auckland,09 3605557,1,bing,High,-36.85099,174.7444
Okere Falls Store,757 Sh33,Rotorua,Auckland,3074,Bay Of Plenty,07 3624944,1,bing,Medium,-38.0338,176.33893
Organics Out West,273 Westcoast Rd,Glen Eden,Auckland,602,Auckland,09 8136678,1,bing,High,-36.90972,174.65055
Penguin Wholesalers,6 Hewlett St,,Whangarei,110,Northland,09 4700264,1,bing,High,-35.7406,174.34162
Peter Timbs Bishopdale,129 Farrington Ave,Bishopdale,Christchurch,8053,Canterbury,03 3595729,1,bing,High,-43.49015,172.58749
Peter Timbs Edgeware,70 Edgeware Rd,,Christchurch,8014,Canterbury,03 3661780,1,bing,High,-43.51356,172.63733
Pinehill Butchery,654 Eastcoast Rd,Pinehill,Auckland,630,Auckland,09 4760060,1,bing,High,-36.7285595,174.7308221
Pleasant Point Butchery,"Main Road, Pleasant Point",,Timaru,8081,Canterbury,0800 757288,1,bing,Medium,-44.26052,171.12005
Pokeno Bacon,420 Mt Eden Rd,Mt Eden,Auckland,1024,Auckland,09 6303875,1,bing,High,-36.8812,174.76218
Pork Mart And Poultry,1 Marewa Rd,Greenlane,Auckland,1051,Auckland,09 5232308,1,bing,High,-36.88933,174.79513
Raeward Fresh Harewood,800 Hareward Rd,,Christchurch,8051,Canterbury,03 3592772,1,bing,High,-43.47826,172.55487
Raeward Fresh Marshlands,410 Marshlands Rd,,Christchurch,8083,Canterbury,03 3856976,1,bing,High,-43.47641,172.65982
Raeward Fresh Richmond,Crn Salisbury And Champion Rds,Richmond,Nelson,3043,Marlborough,03 5440824,1,bing,Medium,-41.33955,173.2087699
Raeward Fresh Tower Junction,4 Troup Drive,Addington,Christchurch,8011,Canterbury,03 3411110,1,bing,High,-43.54034,172.60537
Randwick Meats,71 Pharazyn Street,,Lower Hutt,5010,Wellington,04 5684616,1,bing,High,-41.2069199,174.89937
Redwood Butchery,Shop 14 Tarawera Rd,Lynmore,Rotorua,3010,Bay Of Plenty,07 5625157,1,bing,High,-38.154,176.28806
Renwick Meat Market,82 High Street,Renwick,Blenheim,7204,Marlborough,03 5728656,1,bing,High,-41.50814,173.82523
Seaside Meats,3 Litten Rd,Howick,Auckland,2014,Auckland,09 5347248,1,bing,High,-36.9040388,174.9392101
South Lamb Gourmet Meats,302 Yarrow St,,Invercargill,9810,Southland,03 2177568,1,bing,High,-46.40738,168.36876
Steves Wholefoods,101 Albert Street,,Palmerston North,4414,Manawatu,06 3551300,1,bing,High,-40.34978,175.62413
Tastes Matters,28 Windsor St,Windsor,Invercargill,9810,Southland,03 2173172,1,bing,High,-46.39685,168.36542
Te Rapa New World,751 Te Rapa Rd,,Hamilton,3200,Waikato,07 8490300,1,bing,High,-37.75289,175.24076
Templeton Butcher,733 Main South Rd,Islington,Christchurch,8042,Canterbury,03 3499555,1,bing,High,-43.55031,172.4874
The Fridge Alexandra,48 Tarbert St,,Alexandra,9320,Central Otago,03 4486212,1,bing,High,-45.25667,169.39283
The Fridge Cromwell,9 The Mall,,Cromwell,9310,Central Otago,03 4451120,1,bing,High,-45.04330063,169.1976776
The Island Grocer,110 Oceanview Rd,Oneroa,Waiheke Island,1080,Auckland,09 3728866,1,bing,High,-36.7817999,175.00835
The Manly Village Butchery,60 Rawhiti Rd,Hibiscus Coast,Auckland,930,Auckland,09 4247483,1,bing,High,-36.63115,174.7632
The Meat Shoppe,1294 Tutanekui St,,Rotorua,3010,Bay Of Plenty,07 3488989,1,bing,High,-38.13931,176.2517499
The Milford Butchery,148 Kitchener Rd,Milford,Northshore,620,Auckland,09 4886720,1,bing,High,-36.7730672,174.7662114
The Village Butcher,359 Lake Rd,Hauraki,Auckland,622,Auckland,09 4898364,1,bing,High,-36.79687,174.77822
TLC Meats,4 Eggmont St,,New Plymouth,4312,Taranaki,06 7596878,1,bing,High,-39.05697,174.0701
Torbay Village Butchery,1036 Beach Rd,Torbay,Auckland,630,Auckland,09 4732014,1,bing,High,-36.69563,174.7517
Uppercuts Winton,166 Florence Rd,Winton,,9782,Southland,03 2360288,1,bing,High,-46.14029,168.32907
Victoria Ave Butchery,170 Victoria Ave,Remuera,Auckland,1050,Auckland,09 5249679,1,bing,High,-36.87127,174.7992099
Village Butchery,126 Ormond Rd,,Gisbourne,4010,Gisbourne,06 8677689,1,bing,High,-38.6552099,178.0250299
Waikanae Butchery,42 Main Rd,,Waikanae,5036,Wellington,04 9026776,1,bing,High,-40.87763,175.06476
Waiuku Butchery,32 Queen St,Waiuku,Auckland,2123,Auckland,09 2358369,1,bing,High,-37.24906,174.7306
Warkworth Bucthery,10 Queen Street,Warkworth,Auckland,910,Auckland,09 4259947,1,bing,High,-36.3974,174.66532
Westmeats Christchurch,394 Blenheim Rd,Upper Riccarton,Christchurch,8041,Canterbury,03 3495078,1,bing,High,-43.53826,172.57165
